Date (MM-DD-YYYY);Store / Vendor;Holidays;Regali;Mediche;Abbigl.;Bollette;Affitto;Flag1;Escludi;INDISPENSABILE;EVITABILE;$ Amount;Expense Category;SubCategory;Notes (Optional)
15/07/25;Ville Haute;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;;;$55.00;$55.00;Svago;Alcohol;
15/07/25;Elisa;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;;$550.00;;$550.00;Spese fisse;Affitto;Affitto Lux 23 Aug - 9 Sept
20/07/25;MXP LUX;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;$36.00;;$36.00;$0.00;Viaggi;Aereo;Volo Standby
20/07/25;Lidl;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;$29.00;$121.00;;$92.00;Cibo;Spesa;
20/07/25;Jims;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;;$48.00;;$48.00;Abbonamenti;Abbonamenti;Palestra
25/07/25;Luxair;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;;$100.00;;$100.00;Cibo;Pranzo fuori;
30/07/25;Shuberfoyer;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;;;$21.00;$21.00;Svago;Eventi;Giostre Lux
30/07/25;Lounge One;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;;;$36.00;$36.00;Svago;Alcohol;Birra
30/07/25;Shuberfoyer;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;;;$10.00;$10.00;Svago;Eventi;Autoscontro
30/07/25;Shuberfoyer;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;;;$114.00;$114.00;Svago;Alcohol;Birra Jeger
30/07/25;TaxiLux;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;;;$23.00;$23.00;Cibo;Cena fuori;Cena casa
30/07/25;TaxiLux;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;;$15.00;;$15.00;Trasporti;Taxi;Taxi Trasloco
31/07/25;Aldi;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;;$19.00;;$19.00;Cibo;Spesa;Varie
01/08/25;Monop;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;$42.00;$28.00;$44.00;$30.00;Cibo;Aperitivo;Varie
02/08/25;Cactus;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;;$15.00;;$15.00;Cibo;Spesa;Varie
02/08/25;Escape Room;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;;;$39.00;$39.00;Svago;Eventi;Escape room
02/08/25;Mama Shelter;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;;;$34.00;$34.00;Cibo;Cena fuori;Pizza
02/08/25;Luxair;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;;$13.00;;$13.00;Trasporti;Taxi;Taxi Trasloco
03/08/25;Enrico;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;;-- ;;$0.00;Spese fisse;Affitto;Lux 9 Sept - 30 Sept
04/08/25;Auchan;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;;$27.00;;$27.00;Cibo;Spesa;Varie Cibo
05/08/25;Lounge one;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;;;$43.00;$43.00;Svago;Alcohol;Birra offerta
05/08/25;Cactus;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;;$60.00;;$60.00;Cibo;Spesa;Varie Cibo
05/08/25;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;;$72.00;;$72.00;Viaggi;Aereo;Aereo Laurea matteo
06/08/25;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;;;$10.00;$10.00;Svago;Alcohol;Cocktail analcolico
